Rolle:				Epost:			Passord:
Tekniker			gunnar@schmuka.no	gunnar
Tekniker			petter@schmuka.no	petter
Tekniker			aage@schmuka.no		aage
Tekniker			geir@geir.no		geir
Bookingansvarlig		magnus@schmuka.no	magnus
Bookingansvarlig		ulrik@schmuka.no	ulrik
Bookingsjef			jorgen@schmuka.no	jorgen
HighasakiteOgLemaitreManager	sondre@schmuka.no	sondre
WingsuitsManager		fredrik@schmuka.no	fredrik
TurbonegerManager		hank@schmuka.no		hank
BonIverManager			justin@schmuka.no	justin
AstridSManager			astrid@schmuka.no	astrid
LordeManager			randy@schmuka.no	randy
KakkmaddafakkaManager		stine@schmuka.no	stine
Arrangør			rolf@schmuka.no		rolf
Arrangør			heidi@schmuka.no	heidi
Arrangør 			hanna@schmuka.no	hanna
PR-ansvarlig			per@schmuka.no		per
Serveringsansvarlig		sunniva@schmuka.no	sunniva
Serveringsansvarlig		sivert@schmuka.no	sivert
